node_id;label;entity_id
0;Оролцогч;Номын хүч трейд ХХК
1;ХөрөнгөОруулагч;Монгол
2;ҮйлАжиллагааныЧиглэл;Мал аж ахуй
3;Оролцогч;Пайпинг инженеринг ХХК
4;ҮйлАжиллагааныЧиглэл;Барилга угсралт
5;Оролцогч;Эжайл төслийн удирдлагын төв Төрийн бус байгууллага
6;ҮйлАжиллагааныЧиглэл;Төслийн судалгаа, шинжилгээ
7;Оролцогч;1520 Signal Ltd ХХК
8;ХөрөнгөОруулагч;Орос
9;ҮйлАжиллагааныЧиглэл;Төмөр замын дохиолол, төвлөрүүлэлт, хориглол ба холбооны байгууламжийн засвар, техникийн үйлчилгээ
10;Оролцогч;163 дугаар сургууль Төрийн бус байгууллага
11;ҮйлАжиллагааныЧиглэл;Ерөнхий боловсролын дунд сургуулийн үйл ажиллагаа
12;Оролцогч;ALL BEST METAL AND MINERAL LLC ХХК
13;ҮйлАжиллагааныЧиглэл;Ачаа, тээш ачих, буулгах үйлчилгээ
14;Оролцогч;ALSTOM Transport SA ХК
15;ҮйлАжиллагааныЧиглэл;Төмөр зам болон авто замын байгууламж барих үйл ажиллагаа
16;Оролцогч;AME International GmbH ХХК
17;ХөрөнгөОруулагч;Австри
18;ҮйлАжиллагааныЧиглэл;Эрүүл мэндийн чиглэлээр
19;Оролцогч;ANHUI GANGTAI MACHINERY MANUFACTURE GROUP CO.,LTD ХХК
20;ҮйлАжиллагааныЧиглэл;Төмөр замын хөдлөх бүрэлдэхүүнийг үйлдвэрлэх, угсрах, засварлах
21;Оролцогч;ANSART B.V. ХХК
22;ҮйлАжиллагааныЧиглэл;Компьютер програмчлал,зөвлөгөө болон түүнд холбогдох үйл ажиллагаа
23;Оролцогч;AO Север Минералс ХК
24;ҮйлАжиллагааныЧиглэл;Гадаад худалдаа
25;Оролцогч;ARTERAIL ХХК
26;Оролцогч;Airways International Limited ХХК
27;ҮйлАжиллагааныЧиглэл;Нисэхийн мэргэжлийн зөвлөгөө өгөх
28;Оролцогч;Allen and Overy Asia Pte Ltd ХХК
29;ҮйлАжиллагааныЧиглэл;Хууль зүйн зөвлөгөө, өмгөөллийн үйл ажиллагаа
30;Оролцогч;Alsko enerji LLC ХХК
31;ҮйлАжиллагааныЧиглэл;Уул уурхай олборлох үйл ажиллагаа
32;Оролцогч;Andritz Delkhor ХК
33;ҮйлАжиллагааныЧиглэл;Уул уурхайн тоног төхөөрөмжийн худалдаа
34;Оролцогч;Ardashev Konstantin ХХК
35;ҮйлАжиллагааныЧиглэл;Худалдаа
36;Оролцогч;Artec ХХК
37;ҮйлАжиллагааныЧиглэл;Гадаад  худалдаа
38;Оролцогч;Arterail Бусад
39;Оролцогч;Aury (Tianjin) Industry Group Co., Ltd ХХК
40;Оролцогч;Aйжикон ХХК
41;ҮйлАжиллагааныЧиглэл;Барилгын засвар, засал чимэглэл, орчны тохижилт,мод ба өрөгт бүтээцэн барилгын угсралт, өргөтгөл, шинэчлэлийн ажил
42;Оролцогч;BEIJING RIVERSTONE MINING TECHNOLOGY CO.LTD ХХК
43;ХөрөнгөОруулагч;Хятад
44;ҮйлАжиллагааныЧиглэл;Уул уурхайн тоног төхөөрөмж худалдаа
45;Оролцогч;BEIJING SHIDAI DADI DESIGN GROUP CO., LTD ХХК
46;Оролцогч;BERIS Engineering and researching corporation ХХК
47;ҮйлАжиллагааныЧиглэл;Инженерийн зөвлөх үйлчилгээ
48;Оролцогч;BOINTE ENERGY ХХК
49;ҮйлАжиллагааныЧиглэл;Химийн хор болон аюултай бодисын худалдаа
